trial,sc,dc,latency
77,3,2,13986
78,3,2,4294966704
79,3,2,814
80,3,2,8473
81,3,2,3293
82,3,2,84693
83,3,2,17390
84,3,2,75073
85,3,2,78070
86,3,2,67821
87,3,2,10989
88,3,2,5994
89,3,2,106449
90,3,2,74185
91,3,2,4514
92,3,2,76183
93,3,2,140082
94,3,2,81807
95,3,2,84656
96,3,2,1036
97,3,2,83888
98,3,2,84702
99,3,2,77811
